Date Time, Memory Used (GB)
2024-05-10 08:50:40, 46.24
2024-05-10 08:50:43, 46.25
2024-05-10 08:50:46, 46.25
2024-05-10 08:50:50, 46.25
2024-05-10 08:50:53, 46.25
2024-05-10 08:50:56, 46.25
2024-05-10 08:50:59, 46.25
2024-05-10 08:51:02, 46.24
2024-05-10 08:51:06, 46.25
2024-05-10 08:51:09, 46.25
2024-05-10 08:51:12, 46.25
2024-05-10 08:51:15, 46.25
2024-05-10 08:51:19, 46.24
2024-05-10 08:51:22, 46.25
2024-05-10 08:51:25, 46.25
2024-05-10 08:51:28, 46.25
2024-05-10 08:51:32, 46.24
2024-05-10 08:51:35, 46.24
2024-05-10 08:51:38, 46.24
2024-05-10 08:51:41, 46.24
2024-05-10 08:51:45, 46.23
2024-05-10 08:51:48, 46.23
2024-05-10 08:51:51, 46.22
2024-05-10 08:51:54, 46.22
2024-05-10 08:51:58, 46.23
2024-05-10 08:52:01, 46.23
2024-05-10 08:52:04, 46.24
2024-05-10 08:52:07, 46.24
2024-05-10 08:52:11, 46.26
2024-05-10 08:52:14, 46.27
2024-05-10 08:52:17, 46.27
2024-05-10 08:52:20, 46.27
2024-05-10 08:52:24, 46.27
2024-05-10 08:52:27, 46.28
2024-05-10 08:52:30, 46.29
2024-05-10 08:52:33, 46.29
2024-05-10 08:52:36, 46.29
2024-05-10 08:52:40, 46.29
2024-05-10 08:52:43, 46.29
2024-05-10 08:52:46, 46.29
2024-05-10 08:52:49, 46.28
2024-05-10 08:52:53, 46.27
2024-05-10 08:52:56, 46.27
2024-05-10 08:52:59, 46.27
2024-05-10 08:53:02, 46.27
2024-05-10 08:53:06, 46.27
2024-05-10 08:53:09, 46.27
2024-05-10 08:53:12, 46.27
2024-05-10 08:53:15, 46.28
2024-05-10 08:53:19, 46.28
2024-05-10 08:53:22, 46.28
2024-05-10 08:53:25, 46.29
2024-05-10 08:53:28, 46.29
2024-05-10 08:53:32, 46.30
2024-05-10 08:53:35, 46.30
2024-05-10 08:53:38, 46.30
2024-05-10 08:53:41, 46.30
2024-05-10 08:53:45, 46.35
2024-05-10 08:53:48, 46.35
2024-05-10 08:53:51, 46.37
2024-05-10 08:53:54, 46.37
2024-05-10 08:53:58, 46.37
2024-05-10 08:54:01, 46.37
2024-05-10 08:54:04, 46.38
2024-05-10 08:54:07, 46.39
2024-05-10 08:54:11, 46.37
2024-05-10 08:54:14, 46.37
2024-05-10 08:54:17, 46.36
2024-05-10 08:54:20, 46.36
2024-05-10 08:54:23, 46.38
2024-05-10 08:54:27, 46.37
2024-05-10 08:54:30, 46.37
2024-05-10 08:54:33, 46.37
2024-05-10 08:54:36, 46.37
2024-05-10 08:54:40, 46.38
2024-05-10 08:54:43, 46.38
2024-05-10 08:54:46, 46.38
2024-05-10 08:54:49, 46.38
2024-05-10 08:54:53, 46.40
2024-05-10 08:54:56, 46.40
2024-05-10 08:54:59, 46.39
2024-05-10 08:55:02, 46.40
2024-05-10 08:55:06, 46.40
2024-05-10 08:55:09, 46.40
2024-05-10 08:55:12, 46.41
2024-05-10 08:55:15, 46.42
2024-05-10 08:55:19, 46.42
2024-05-10 08:55:22, 46.43
2024-05-10 08:55:25, 46.42
2024-05-10 08:55:28, 46.43
2024-05-10 08:55:32, 46.44
2024-05-10 08:55:35, 46.43
2024-05-10 08:55:38, 46.52
2024-05-10 08:55:41, 46.43
2024-05-10 08:55:45, 46.43
2024-05-10 08:55:48, 46.44
2024-05-10 08:55:51, 46.43
2024-05-10 08:55:54, 46.43
2024-05-10 08:55:58, 46.44
2024-05-10 08:56:01, 46.43
2024-05-10 08:56:04, 46.45
2024-05-10 08:56:07, 46.46
2024-05-10 08:56:10, 46.47
2024-05-10 08:56:14, 46.46
2024-05-10 08:56:17, 46.46
2024-05-10 08:56:20, 46.46
2024-05-10 08:56:23, 46.46
2024-05-10 08:56:27, 46.45
2024-05-10 08:56:30, 46.44
2024-05-10 08:56:33, 46.45
2024-05-10 08:56:36, 46.45
2024-05-10 08:56:40, 46.62
2024-05-10 08:56:43, 47.25
2024-05-10 08:56:46, 47.85
2024-05-10 08:56:49, 49.13
2024-05-10 08:56:53, 49.08
2024-05-10 08:56:56, 49.60
2024-05-10 08:56:59, 50.39
2024-05-10 08:57:02, 50.78
2024-05-10 08:57:06, 52.48
2024-05-10 08:57:09, 51.87
2024-05-10 08:57:12, 54.71
2024-05-10 08:57:15, 52.90
2024-05-10 08:57:19, 55.00
2024-05-10 08:57:22, 53.72
2024-05-10 08:57:25, 54.47
2024-05-10 08:57:28, 54.58
2024-05-10 08:57:32, 55.27
2024-05-10 08:57:35, 62.12
2024-05-10 08:57:38, 55.99
2024-05-10 08:57:41, 59.81
2024-05-10 08:57:45, 56.61
2024-05-10 08:57:48, 57.38
2024-05-10 08:57:51, 65.41
2024-05-10 08:57:54, 57.91
2024-05-10 08:57:57, 60.88
2024-05-10 08:58:01, 69.98
2024-05-10 08:58:04, 59.08
2024-05-10 08:58:07, 63.83
2024-05-10 08:58:10, 68.61
2024-05-10 08:58:14, 60.21
2024-05-10 08:58:17, 66.27
2024-05-10 08:58:20, 66.80
2024-05-10 08:58:23, 61.15
2024-05-10 08:58:27, 66.59
2024-05-10 08:58:30, 75.73
2024-05-10 08:58:33, 61.98
2024-05-10 08:58:36, 65.62
2024-05-10 08:58:40, 74.68
2024-05-10 08:58:43, 62.76
2024-05-10 08:58:46, 63.47
2024-05-10 08:58:49, 72.46
2024-05-10 08:58:53, 70.63
2024-05-10 08:58:56, 64.18
2024-05-10 08:58:59, 70.00
2024-05-10 08:59:02, 79.12
2024-05-10 08:59:06, 64.76
2024-05-10 08:59:09, 66.28
2024-05-10 08:59:12, 75.36
2024-05-10 08:59:15, 84.44
2024-05-10 08:59:18, 66.07
2024-05-10 08:59:22, 70.98
2024-05-10 08:59:25, 80.13
2024-05-10 08:59:28, 66.54
2024-05-10 08:59:31, 67.28
2024-05-10 08:59:35, 74.20
2024-05-10 08:59:38, 83.32
2024-05-10 08:59:41, 67.58
2024-05-10 08:59:44, 68.34
2024-05-10 08:59:48, 76.16
2024-05-10 08:59:51, 85.25
2024-05-10 08:59:54, 68.59
2024-05-10 08:59:57, 69.38
2024-05-10 09:00:01, 77.24
2024-05-10 09:00:04, 86.17
2024-05-10 09:00:07, 69.49
2024-05-10 09:00:10, 70.22
2024-05-10 09:00:14, 76.88
2024-05-10 09:00:17, 85.96
2024-05-10 09:00:20, 89.65
2024-05-10 09:00:23, 71.02
2024-05-10 09:00:27, 75.12
2024-05-10 09:00:30, 84.17
2024-05-10 09:00:33, 93.26
2024-05-10 09:00:36, 71.71
2024-05-10 09:00:40, 72.98
2024-05-10 09:00:43, 82.12
2024-05-10 09:00:46, 91.26
2024-05-10 09:00:49, 81.13
2024-05-10 09:00:53, 46.42
2024-05-10 09:00:56, 46.42
2024-05-10 09:00:59, 46.75
2024-05-10 09:01:02, 48.34
2024-05-10 09:01:05, 48.14
2024-05-10 09:01:09, 48.73
2024-05-10 09:01:12, 50.52
2024-05-10 09:01:15, 49.97
2024-05-10 09:01:18, 53.27
2024-05-10 09:01:22, 51.04
2024-05-10 09:01:25, 55.42
2024-05-10 09:01:28, 52.07
2024-05-10 09:01:31, 57.38
2024-05-10 09:01:35, 53.09
2024-05-10 09:01:38, 58.29
2024-05-10 09:01:41, 53.96
2024-05-10 09:01:44, 58.05
2024-05-10 09:01:48, 54.78
2024-05-10 09:01:51, 56.71
2024-05-10 09:01:54, 55.50
2024-05-10 09:01:57, 56.30
2024-05-10 09:02:01, 63.48
2024-05-10 09:02:04, 56.89
2024-05-10 09:02:07, 59.17
2024-05-10 09:02:10, 68.27
2024-05-10 09:02:14, 58.11
2024-05-10 09:02:17, 63.17
2024-05-10 09:02:20, 58.52
2024-05-10 09:02:23, 59.32
2024-05-10 09:02:27, 66.54
2024-05-10 09:02:30, 59.65
2024-05-10 09:02:33, 60.32
2024-05-10 09:02:36, 67.55
2024-05-10 09:02:40, 60.53
2024-05-10 09:02:43, 61.30
2024-05-10 09:02:46, 68.21
2024-05-10 09:02:49, 69.08
2024-05-10 09:02:52, 62.22
2024-05-10 09:02:56, 67.96
2024-05-10 09:02:59, 77.04
2024-05-10 09:03:02, 63.01
2024-05-10 09:03:05, 66.57
2024-05-10 09:03:09, 75.71
2024-05-10 09:03:12, 63.73
2024-05-10 09:03:15, 64.47
2024-05-10 09:03:18, 73.07
2024-05-10 09:03:22, 82.16
2024-05-10 09:03:25, 65.08
2024-05-10 09:03:28, 68.88
2024-05-10 09:03:31, 77.98
2024-05-10 09:03:35, 65.54
2024-05-10 09:03:38, 66.27
2024-05-10 09:03:41, 72.93
2024-05-10 09:03:44, 82.03
2024-05-10 09:03:48, 66.71
2024-05-10 09:03:51, 67.50
2024-05-10 09:03:54, 76.43
2024-05-10 09:03:57, 85.53
2024-05-10 09:04:01, 67.85
2024-05-10 09:04:04, 69.79
2024-05-10 09:04:07, 78.85
2024-05-10 09:04:10, 87.95
2024-05-10 09:04:14, 68.87
2024-05-10 09:04:17, 70.68
2024-05-10 09:04:20, 79.79
2024-05-10 09:04:23, 88.89
2024-05-10 09:04:27, 69.78
2024-05-10 09:04:30, 70.49
2024-05-10 09:04:33, 79.52
2024-05-10 09:04:36, 88.60
2024-05-10 09:04:40, 70.55
2024-05-10 09:04:43, 71.35
2024-05-10 09:04:46, 78.52
2024-05-10 09:04:49, 87.58
2024-05-10 09:04:53, 96.46
2024-05-10 09:04:56, 72.10
2024-05-10 09:04:59, 76.36
2024-05-10 09:05:02, 85.44
2024-05-10 09:05:05, 94.41
2024-05-10 09:05:09, 72.71
2024-05-10 09:05:12, 73.44
2024-05-10 09:05:15, 81.56
2024-05-10 09:05:18, 90.64
2024-05-10 09:05:22, 99.71
2024-05-10 09:05:25, 73.95
2024-05-10 09:05:28, 76.30
2024-05-10 09:05:31, 85.37
2024-05-10 09:05:35, 94.46
2024-05-10 09:05:38, 94.57
2024-05-10 09:05:41, 75.07
2024-05-10 09:05:44, 79.46
2024-05-10 09:05:48, 88.60
2024-05-10 09:05:51, 97.75
2024-05-10 09:05:54, 83.23
2024-05-10 09:05:57, 76.22
2024-05-10 09:06:01, 81.42
2024-05-10 09:06:04, 90.44
2024-05-10 09:06:07, 99.58
2024-05-10 09:06:10, 87.62
2024-05-10 09:06:14, 77.21
2024-05-10 09:06:17, 82.48
2024-05-10 09:06:20, 91.63
2024-05-10 09:06:23, 100.72
2024-05-10 09:06:27, 97.81
2024-05-10 09:06:30, 78.08
2024-05-10 09:06:33, 81.49
2024-05-10 09:06:36, 90.62
2024-05-10 09:06:39, 99.71
2024-05-10 09:06:43, 108.85
2024-05-10 09:06:46, 78.85
2024-05-10 09:06:49, 79.99
2024-05-10 09:06:52, 89.05
2024-05-10 09:06:56, 98.16
2024-05-10 09:06:59, 107.26
2024-05-10 09:07:02, 79.53
2024-05-10 09:07:05, 80.29
2024-05-10 09:07:09, 86.28
2024-05-10 09:07:12, 95.34
2024-05-10 09:07:15, 104.40
2024-05-10 09:07:18, 113.48
